score,statsDataId,title,survey_date,updated_date,gov_org,matched_search_word
5,0003065698,前期課程の都道府県別生徒数別学校数（うち公立　都道府県別）,0,2023-10-25,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003268527,45 都道府県別  児童数別  学校数（設置者別）,201701-201712,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003268528,45 都道府県別  児童数別  学校数（うち公立　都道府県別）,201701-201712,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003179822,45 都道府県別  児童数別  学校数（設置者別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003179823,45 都道府県別  児童数別  学校数（うち公立　都道府県別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003180481,72 都道府県別  生徒数別  学校数（うち公立　都道府県別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003180503,72 都道府県別  生徒数別  学校数（設置者別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003175080,99 都道府県別  児童生徒数別  学校数（設置者別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003175100,99 都道府県別  児童生徒数別  学校数（うち公立　都道府県別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003182804,167 前期課程の都道府県別生徒数別学校数（設置者別）,201601-201612,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003141556,42 都道府県別  児童数別  学校数（うち公立　都道府県別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003141633,42 都道府県別  児童数別  学校数（設置者別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003141958,69 都道府県別  生徒数別  学校数（うち公立　都道府県別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003141996,69 都道府県別  生徒数別  学校数（設置者別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003142634,138 前期課程の都道府県別生徒数別学校数（設置者別）,201501-201512,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003103435,24 都道府県別  児童数別  学校数（設置者別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003103436,24 都道府県別  児童数別  学校数（うち公立　都道府県別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003103893,51 都道府県別  生徒数別  学校数（設置者別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003103935,51 都道府県別  生徒数別  学校数（うち公立　都道府県別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003104754,120 前期課程の都道府県別生徒数別学校数（設置者別）,201401-201412,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003061543,4 都道府県別  児童数別  学校数（うち公立　都道府県別）,200704-200803,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003061542,4 都道府県別  児童数別  学校数（設置者別）,200704-200803,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003046097,31 都道府県別  生徒数別  学校数（うち公立　都道府県別）,200704-200803,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003046096,31 都道府県別  生徒数別  学校数（設置者別）,200704-200803,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003046816,100 前期課程の都道府県別生徒数別学校数（設置者別）,200704-200803,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003061511,4 都道府県別  児童数別  学校数（設置者別）,200604-200703,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003061512,4 都道府県別  児童数別  学校数（うち公立　都道府県別）,200604-200703,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003059826,31 都道府県別  生徒数別  学校数（設置者別）,200604-200703,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003059827,31 都道府県別  生徒数別  学校数（うち公立　都道府県別）,200604-200703,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003061464,100 前期課程の都道府県別生徒数別学校数（設置者別）,200604-200703,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003065478,都道府県別  児童数別  学校数（設置者別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003065479,都道府県別  児童数別  学校数（うち公立　都道府県別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003035689,都道府県別　生徒数別学校数〔うち計国公（分校）私立〕,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003065519,都道府県別  生徒数別  学校数（設置者別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003065520,都道府県別  生徒数別  学校数（うち公立　都道府県別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003065697,前期課程の都道府県別生徒数別学校数（設置者別）,0,2019-10-28,文部科学省,学校基本調査 都道府県別 高等学校 学校数 生徒数
5,0003017553,23 都道府県別児童数別学校数（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
5,0003020759,23 都道府県別児童数別学校数（うち公立　都道府県別）,0,2011-03-22,文部科学省,学校基本調査 都道府県別 小学校 学校数 児童数
